algorithm,execution_time,dataset,triangle_operations,triangles,initial_graph_triangles,p
Node Iterator,1.2691922187805176,CA-HepPh.csv,322278,3182,3181999.999999999,0.1
Compact Forward,0.250530481338501,CA-HepPh.csv,51871,3182,3181999.999999999,0.1
Node Iterator,11.714081048965454,CA-HepPh.csv,2830329,92841,3438555.5555555564,0.3
Compact Forward,1.8669931888580322,CA-HepPh.csv,544013,92841,3438555.5555555564,0.3
Node Iterator,7.975182771682739,CA-HepPh.csv,7682358,412910,3303280.0,0.5
Compact Forward,4.838587760925293,CA-HepPh.csv,1403843,412910,3303280.0,0.5
Node Iterator,16.32443332672119,CA-HepPh.csv,15199260,1167956,3405119.5335276974,0.7
Compact Forward,9.53027081489563,CA-HepPh.csv,2550533,1167956,3405119.5335276974,0.7
Node Iterator,0.30255866050720215,CA_AstroPh.csv,291785,1360,1359999.9999999998,0.1
Compact Forward,0.2885007858276367,CA_AstroPh.csv,23599,1360,1359999.9999999998,0.1
Node Iterator,1.9709627628326416,CA_AstroPh.csv,2420211,36477,1351000.0000000002,0.3
Compact Forward,1.6619880199432373,CA_AstroPh.csv,333794,36477,1351000.0000000002,0.3
Node Iterator,5.6308605670928955,CA_AstroPh.csv,6607088,169592,1356736.0,0.5
Compact Forward,4.2968199253082275,CA_AstroPh.csv,994627,169592,1356736.0,0.5
Node Iterator,11.302329063415527,CA_AstroPh.csv,12675295,460388,1342239.067055394,0.7
Compact Forward,8.015105724334717,CA_AstroPh.csv,1943592,460388,1342239.067055394,0.7
Node Iterator,23.596955060958862,com-youtube.csv,30410700,3119,3118999.999999999,0.1
Compact Forward,17.68985080718994,com-youtube.csv,206933,3119,3118999.999999999,0.1
Node Iterator,197.3164839744568,com-youtube.csv,268544276,83581,3095592.5925925933,0.3
Compact Forward,135.93653416633606,com-youtube.csv,2911347,83581,3095592.5925925933,0.3
Node Iterator,542.4672768115997,com-youtube.csv,738128388,380809,3046472.0,0.5
Compact Forward,375.02781772613525,com-youtube.csv,9219439,380809,3046472.0,0.5
Node Iterator,1102.648644208908,com-youtube.csv,1455443486,1048870,3057930.0291545196,0.7
Compact Forward,751.0394730567932,com-youtube.csv,19200654,1048870,3057930.0291545196,0.7
